name,place_id,rating,geometry.location.lat,geometry.location.lng
Tim Hortons,ChIJ29LDneeiKogRO5S0gIgG-Oc,3.9,44.4037591,-79.7040128
Tim Hortons,ChIJP3b3W9W8KogR2ZRE8WsGbWU,3.6,44.3909984,-79.6919388
Tim Hortons,ChIJD3OyaxOjKogRmMY42MAiGUg,3.7,44.4073174,-79.67368239999999
Tim Hortons,ChIJYZKLA-6iKogRgofykB3VGic,3.9,44.41372409999999,-79.7097671
Tim Hortons,ChIJCaLG4QGjKogR57B1tx-xWmQ,3.8,44.4182,-79.6950281
Tim Hortons,ChIJdz7OCDK9KogRhfAhCxE832k,3.9,44.38326799999999,-79.7052768
Flying Monkeys Craft Brewery,ChIJvSmgYi6jKogRUEc2Qjskavw,4.6,44.3891825,-79.6867161
Tim Hortons,ChIJHxR39Te9KogRq5OIvemFj10,3.7,44.377239,-79.7159889
Pizza Pizza,ChIJV-ogeyqjKogRl_KFazX-9Tg,3.4,44.387795,-79.6946437
East Side Mario's,ChIJQSQHHO-iKogR_rxp-inkCfs,4.5,44.4126084,-79.7114294
Tim Hortons,ChIJU-VTLB69KogRr4PUJtgtLDw,3.7,44.3645502,-79.6962659
Donaleigh's Irish Public House,ChIJ9_pgri6jKogRcQVSc1ewG3A,4.5,44.3894022,-79.6890818
The Ranch 2.0 Bar & Grill,ChIJTdxSFCmjKogRuozkzl9o-YM,3.9,44.3902837,-79.6913849
Fancy's Fish and Chips Seafood Restaurant,ChIJR9rZHxqjKogRSHT_cQoDBn8,4.2,44.40723190000001,-79.68445249999999
The Crazy Fox Bistro,ChIJHUambiijKogRdesdDJbMpAA,4.6,44.39314359999999,-79.6931462
Pizza Pizza,ChIJRdzbe8e8KogRfawSTf-5sTI,3.9,44.37177500000001,-79.6724
Il Buco,ChIJHQCgri6jKogR2HqjKyBxlT8,4.7,44.3888816,-79.6891021
Landings Of Willow Creek Golf Course,ChIJnffEhH6kKogR7Tw_ZpUoHro,3.7,44.4212454,-79.6456821
Swiss Chalet,ChIJW-WGMeaiKogRY_um-zmNuNE,3.8,44.40721749999999,-79.7049728
Casa Mia Barrie,ChIJLTePRyqjKogRZj8I_aG7K30,4.2,44.3883025,-79.69331410000001
Dragon Restaurant,ChIJc36RG9m8KogRJtcgbi-Iyck,3.4,44.3717527,-79.69179350000002
Georgian Dining Room,ChIJTZscQ3KjKogRTMkUz6TFk24,4.6,44.41222990000001,-79.6686173
Harvey's,ChIJHUeMH-aiKogRz2HvO0GbJZY,3.9,44.4074029,-79.7051589
Pizza Nova,ChIJv0CUjS29KogRV4pqokReDWg,4.2,44.38192659999999,-79.7060475
Papa John's Pizza,ChIJZT9B5hCjKogRrklPrdjgQ28,4.0,44.4084634,-79.6821942
Town & Country Steakhouse,ChIJ8yDoNiqjKogR3ScJJZC4JAc,4.3,44.3882495,-79.6928168
241 Pizza,ChIJeaDmhOi8KogR-Fp0KBGX1Cs,4.0,44.3625321,-79.6829123
Michael & Marion's and The Side Door,ChIJib_iASmjKogRaFXrdbqeCb4,4.6,44.39132170000001,-79.6915645
"Topper's Pizza, Barrie-Bayfield",ChIJg7j9r-C8KogRpZ7Hod0cKc4,4.0,44.4024996,-79.70082
Pizzaville,ChIJiQts_bi8KogRc7_3gMl7aPA,3.9,44.3693602,-79.6688124
Barrie Barbeque Chicken,ChIJRQCU4yejKogR_iPQ9UrEho4,4.3,44.39429759999999,-79.69390369999999
Tim Hortons,ChIJt6n00gSjKogRV0TPdCWRr6Y,3.7,44.4111716,-79.6877968
Wimpy's Diner,ChIJ9zXLe8e8KogRoxaGJ3P5uY0,4.4,44.371643,-79.67315669999999
Mandarin Restaurant,ChIJ12L6AeK8KogRvV9anNTgM-U,4.3,44.3602333,-79.693359
Lazy Tulip Cafe,ChIJs4V-5yujKogRA-r9htXyjGw,4.6,44.39020469999999,-79.6849835
Subway,ChIJ2dZq292iKogRdShTFGuj4PE,3.6,44.4025776,-79.7009961
Dino's 2 For 1 Pizza,ChIJz6du4yejKogRq-sUF8xUTek,4.5,44.394423,-79.69405019999999
The Last Class,ChIJTZscQ3KjKogRvt64ReoHdZs,4.5,44.411411,-79.66850099999999
Subway,ChIJr6iIMBOjKogR-RObdQu_2uw,3.4,44.4077118,-79.67310400000001
Circle K,ChIJSULQnD6jKogRL27onyd9fkU,2.6,44.3992325,-79.6779756
Subway,ChIJz-RDobm8KogRviMlSy-4H2s,3.6,44.3707296,-79.6691637
Bull and Barrel Pub,ChIJH37hYjO9KogRPSoqzqkJxvk,4.4,44.3841021,-79.71010009999999
Circle K,ChIJj-G1bC6jKogRhf-WnTDJp8k,2.8,44.3891612,-79.685124
Dragon Wok,ChIJu9ucMAWjKogRXuOjQM8tAFo,3.8,44.4124366,-79.6853634
Burger Royale,ChIJc3jCTkKjKogRyZXS_aKcAek,4.4,44.39876659999999,-79.6652041
Tim Hortons,ChIJTb20R1yjKogRgbic_oueInk,3.6,44.3972103,-79.6578162
Hot Wok Chinese Restaurant,ChIJV5EX8WOjKogReFkbsRE8IqQ,3.9,44.4046484,-79.6561626
Tim Hortons,ChIJ1ULeZHejKogR2l-dkQluy1s,2.7,44.4143774,-79.6609663
Tim Hortons,ChIJo7z7XAujKogR6clBUq5BTe8,3.9,44.41552379999999,-79.6740444
State & Main,ChIJbdVonw6jKogRwMjJSPIGlD8,4.3,44.4146686,-79.6788823
North Barrie Crossing Shopping Centre,ChIJ77Uq7RSjKogRfX0Pv1oBr7o,4.3,44.4150407,-79.6784693
RIPE Juicery- Dunlop St,ChIJzaN9by6jKogR5GPLH4hfuX0,4.1,44.38950399999999,-79.6859388
Sunset Grill,ChIJS7oKmwujKogRmkkx4GYF130,3.9,44.4152578,-79.6788842
147 Ristorante,ChIJ__8Pbi6jKogR_rLFnd814Sw,4.6,44.3891725,-79.68568490000001
Valiant's,ChIJK2dWZC6jKogR8PfE88rkJvg,4.5,44.3894417,-79.6861528
Montana's,ChIJo7z7XAujKogRUDIukTMdhxs,4.4,44.4156915,-79.6785603
The Queens Hotel,ChIJLV6x0CujKogRCZT14mKYrpI,4.1,44.389458,-79.686767
Chavo Crepes,ChIJ-6TVkS6jKogR3-VDkgp4_bw,4.5,44.3894134,-79.68740509999999
Chois Fish N' Chips,ChIJt6n00gSjKogRcaWZRHhW_bY,4.1,44.4115162,-79.6867809
Subway,ChIJQ3w2nOeiKogR6z-RFO97_-8,3.6,44.4127493,-79.68561980000001
